STR_LANGUAGE                  {日本語}
STR_DIRECTION_DESC            {グリッドが移動する方向を選択します。}
STR_VERTICAL                  {垂直方向}
STR_HORIZONTAL                {水平方向}
STR_ANIMATED                  {アニメーション}
STR_ANIMATED_DESC             {グリッドの動きをスライドさせます。}
STR_KEEP_PROP                 {比率を維持する}
STR_KEEP_PROP_DESC            {ICON0 の元のアスペクト比を維持します。}
STR_NB_COL                    {列の数}
STR_NB_COL_DESC               {グリッドの列の数を選択します。}
STR_NB_LINE                   {行数}
STR_NB_LINE_DESC              {グリッドの行数を選択します。}
STR_INVERSE                   {ボタンの反転}
STR_INVERSE_DESC              {ボタンを左右に反転します。}
STR_3D                        {3D}
STR_3D_DESC                   {メニューにゲームケースの3Dモデルを表示します。}
STR_ADD                       {追加する}
STR_LOAD                      {読み込む}
STR_CHANGE                    {変更する}
STR_COLOR                     {色:}
STR_RESET                     {リセット}
STR_FAILED                    {失敗しました。}
STR_DONE                      {完了しました。}
STR_OPEN                      {開く}
STR_CLOSE                     {閉じる}
STR_OPTION                    {オプション}
STR_SELECT                    {選択する}
STR_WINDOW                    {ウィンドウ}
STR_CLICK                     {クリック}
STR_CURSOR                    {カーソル}
STR_NEXT                      {次へ}
STR_PREVIOUS                  {前へ}
STR_SET_COLOR                 {色セット}
STR_HIDETV                    {テレビ画面テストを非表示にする}
STR_SHOWTV                    {テレビ画面テストを表示する}
STR_MOVE_TO_PLUGINS           {dev_hdd0/plugins に移動}
STR_ASK_PLUGINS               {プラグインマネージャを使用するには、プラグインがdev_hdd0/plugins'の中にある必要があります。このフォルダの使用を許可しますか？}
STR_CHANGE_VALUE              {値の変更}
STR_LOAD_IDPS_LV2             {lv2からIDPSを読み込む}
STR_LOAD_IDPS_EID5            {EID5からIDPSを読み込む}
STR_NAME                      {名前}
STR_DOCK_RIGHT                {右にドック}
STR_DOCK_LEFT                 {左にドック}
STR_DOCK_FULL                 {左右にドック}
STR_PLUGIN_MONITOR            {プラグインモニター}
STR_UNUSED                    {未使用}
STR_UNLOAD                    {アンロード}
STR_BOOT_FILE                 {ブートファイル}
STR_CURRENT                   {現在}
STR_NET                       {ネット}
STR_SOFT                      {ソフト}
STR_GX                        {GX}
STR_CUSTOM                    {カスタム}
STR_NEW_CMD                   {新しいコマンド}
STR_PNACH                     {Pnach}
STR_WIDESCREEN                {ワイドスクリーン}
STR_480P                      {480p}
STR_YFIX                      {YFIX}
STR_FMV                       {FMV飛ばし}
STR_SIMPLE                    {シンプル}
STR_ADVANCED                  {高度}
STR_INSTALL_MGZ               {ManaGunZをインストールしてもよろしいですか？}
STR_UP2DATE                   {既に最新バージョンです。}
STR_SHOW_WAVES                {「波」を表示}
STR_SHOW_WAVES_DESC           {背景に波を表示。}
STR_WAVES_COLOR               {波の色}
STR_WAVES_COLOR_DESC          {波の色を変更します。}
STR_USE_CONFIG                {PS2の設定ファイル'*.CONFIG'は使用されていません。}
STR_COLORSET                  {色セット}
STR_COLORSET_DESC             {ManaGunZで使用する事前定義された色セットを選択してください}
STR_GRID_SCROLL               {スクロール}
STR_ADD_LIMG                  {LIMGを追加}
STR_REMOVE_LIMG               {LIMGを削除}
STR_LIMG_DESC                 {いくつかのゲームを修正する場合があります。}
STR_FONT                      {フォント}
STR_FONT_DESC                 {フォントを変更します。}
STR_MOVE                      {移動させる}
STR_JOIN                      {結合する}
STR_JOIN_DESC                 {.666XXファイルをマージします。}
STR_COLOR_FILTER              {色のフィルター}
STR_COLOR_NOTIF               {通知}
STR_COLOR_BOXHEAD             {フィルターのボックスヘッダー}
STR_COLOR_BOXBODY             {フィルターのボックスボディ}
STR_COLOR_SIDEBAR             {サイドバー}
STR_COLOR_BGS                 {設定画面の背景}
STR_COLOR_BG                  {背景}
STR_ROOT_DISPLAY              {ルートパスの表示}
STR_ROOT_DISPLAY_DESC         {ファイルマネージャーのルートパスの表示を変更します。}
STR_STYLE                     {スタイル}
STR_STYLE_CUSTOM              {カスタムスタイル}
STR_STYLE1                    {スタイル 1}
STR_STYLE2                    {スタイル 2}
STR_STYLE3                    {スタイル 3}
STR_STYLE4                    {スタイル 4}
STR_STYLE5                    {スタイル 5}
STR_STYLE6                    {スタイル 6}
STR_FREEOF                    {なし}
STR_ROOTLABEL                 {ルート}
STR_FM_ICONSIZE               {アイコンサイズ}
STR_FM_BIG                    {大きい}
STR_FM_SMALL                  {小さい}
STR_FM_ROWNUMBER              {テキスト行番号}
STR_FM_ROWSIZE                {列のサイズ}
STR_FM_LEFT_CONTENT           {列コンテンツ [左]}
STR_FM_RIGHT_CONTENT          {列コンテンツ [右]}
STR_FM_EMPTY                  {空}
STR_FM_MOUNTPOINT             {マウントポイント}
STR_FM_DEVICE                 {デバイス}
STR_FM_LABEL                  {ラベル}
STR_FM_CAPACITY               {ストレージ容量バー}
STR_FM_MEMINSIDE              {内部メモリ}
STR_FM_MEMOUTSIDE             {外部メモリ}
STR_FM_FILESYSTEM             {ファイルシステム}
STR_FM_CB_WIDTH               {ストレージ容量バーの幅}
STR_FM_MEMORY                 {メモリ}
STR_FM_ICON                   {アイコン}
STR_FM_FILEFOLDER             {ファイルとフォルダ}
STR_FM_CUSTOM                 {カスタムアイコン}
STR_FM_CB_FILL                {塗りつぶす}
STR_EDIT_IDPS                 {IDPSの編集}
STR_FILTER_NOGAME             {ゲームが見つかりません。 フィルターを調整してください。}
STR_SYMLINK_SRC               {SymLinkのソース}
STR_SYMLINK_TARGET            {SymLinkのターゲット}
STR_LOAD_MAMBA                {mambaのロード}
STR_CONVERT_TO_PNG            {PNGに変換}
STR_MOUNT_DEVBLIND            {dev_flashの保護を解除する}
STR_UNMOUNT_DEVBLIND          {dev_flashを保護する}
STR_BT_AUDIO                  {ゲームパッドの音声出力}
STR_BT_AUDIO_DESC             {ゲームパッドを通してゲームの音を再生します。DUALSHOCK®4でテスト済みです。}
STR_GAME_UPDATE_TITLE         {PS3™ソフトのアップデートデータをダウンロードする}
STR_CURRENT_VERS              {現在のバージョン}
STR_CANT_MOUNT_PEEKPOKE       {マウント不可能: PEEKおよびPOKEは使用不可です。mambaはインストールできません}
STR_CANT_MOUNT_UNKFW          {マウント不可能: 不明なファームウェア、mamba はインストールできません。}
STR_CANT_MOUNT                {マウント不可能}
STR_ONLY_FAV                  {お気に入りのみ}
STR_ALL_GAMES                 {すべてのゲーム}
STR_DISPLAY                   {表示}
STR_DUMP_DEC                  {復号化されたBlu-ray Disc™をダンプする}
STR_DUMP_DEC_DESC             {IRDを使用してディスクの「適切な」isoを取得する。完了するとIRDがデータベースにアップロードされます。}
STR_DUMP_ENC                  {暗号化されたBlu-ray Disc™をダンプする}
STR_DUMP_ENC_DESC             {Blu-ray Disc™の生のISOイメージを取得する}
STR_DUMP_ERK                  {EIDルートキーをダンプする}
STR_DUMP_ERK_DESC             {これは本体を復号化する「メイン」キーです。本体のどこでも使用されています。パス：/dev_hdd0/tmp/eid_root_key}
STR_DUMP_3DUMP                {3Dump.binをダンプする}
STR_DUMP_3DUMP_DESC           {3k3y IsoToolsを使ってBlu-ray Disc™をダンプするために必要なファイルです。パス：/dev_hdd0/tmp/3Dump.bin}
STR_SYSTEM_TOOLS              {本体ツール}
STR_DECRYPT_NPDATA            {edat/sdatを復号化}
STR_REDUMP_LOG                {GetKeyダンプを生成する}
STR_REDUMP_LOG_DESC           {redump.orgの投稿に必要なファイルを生成します。}
STR_DUMP_OPTION               {Blu-ray Disc™ダンプの設定}
STR_IGNORE_ERR                {エラーを無視する}
STR_IGNORE_ERR_DESC           {Blu-ray Disc™のダンプ中にエラーを無視します。}
STR_3K3Y_HEADER               {3k3yヘッダーを含める}
STR_3K3Y_HEADER_DESC          {3k3yヘッダーが埋め込まれたISOとしてBlu-ray Disc™をダンプします。3k3y IsoToolsが認識できます。}
STR_ELAPSED                   {経過時間}
STR_REMAINING                 {残り時間}
STR_DYNAREC                   {Dynarec}
STR_DYNAREC_DESC              {エミュレータが動的再コンパイルを使用できるようにします。}
STR_BUILD_ISO                 {ISOを作成する}
STR_BUILD_ISO_DESC            {Blu-ray Disc™のファイルからバックアップ用ISOファイルを作成します。}
STR_UPLOADER                  {アップローダー名}
STR_UPLOADER_DESC             {IRDアップロードのクレジットを受けたい場合はお名前を入力してください。匿名を希望する場合は空欄のままにしてください。}
STR_FAVORITE                  {お気に入り}
STR_BOX3D_ALIGN               {ボックスの整列}
STR_BOX3D_ALIGN_DESC          {棚に保管されているかのようにゲームボックスを揃えます。}
STR_BOX3D_GAP                 {ボックスの隙間}
STR_BOX3D_GAP_DESC            {ゲームボックス間の隙間を調整します。}
STR_SHORT                     {小さい}
STR_MEDIUM                    {中程度}
STR_LONG                      {大きい}
STR_MOUNT_BD                  {BDとしてマウント}
STR_MOUNT_DVD                 {DVDとしてマウント}
STR_SHOWLOGS_DESC             {ロード画面中に現在のタスクについてのメッセージを表示する。}
STR_OVERWRITE                 {上書きする}
STR_OVERWRITE_DESC            {既存ファイルの上書きを設定する。}
STR_OVERWRITE_ALWAYS          {入}
STR_OVERWRITE_NEVER           {切}
STR_OVERWRITE_ASK             {毎回確認する}
STR_OVERWRITE_DUPLICATE       {重複ファイルを作成}
STR_ASK_TO_OVERWRITE          {ファイルは既に存在します。 既存のファイルを上書きしてもよろしいですか？}
STR_ASK_TO_DELETE             {削除してもよろしいですか？}
STR_DUMPER_MAX_TRY            {読み込み試行}
STR_DUMPER_MAX_TRY_DESC       {ディスク読み込みエラーがあった場合の読み込み試行回数を設定します。}
STR_HDD_UNLOCK_SPACE          {hdd0ロック解除}
STR_HDD_UNLOCK_SPACE_DESC     {hdd0の予約済みスペースを8％から1％に減らします。}
